Expert_ID,Alternative_ID,Criteria_ID,Evaluation
E1,A1,Q1,VVG
E1,A1,Q2,EG
E1,A1,Q3,EG
E1,A1,Q4,VVG
E1,A1,Q5,VG
E1,A1,Q6,VG
E1,A2,Q1,VG
E1,A2,Q2,EG
E1,A2,Q3,VVG
E1,A2,Q4,VVG
E1,A2,Q5,VG
E1,A2,Q6,VG
E1,A3,Q1,G
E1,A3,Q2,VVG
E1,A3,Q3,VG
E1,A3,Q4,VVG
E1,A3,Q5,VG
E1,A3,Q6,G
E1,A4,Q1,G
E1,A4,Q2,VG
E1,A4,Q3,VG
E1,A4,Q4,VG
E1,A4,Q5,G
E1,A4,Q6,G
E1,A5,Q1,VVG
E1,A5,Q2,EG
E1,A5,Q3,EG
E1,A5,Q4,VVG
E1,A5,Q5,VVG
E1,A5,Q6,MG
E1,A6,Q1,MG
E1,A6,Q2,VVG
E1,A6,Q3,G
E1,A6,Q4,VG
E1,A6,Q5,G
E1,A6,Q6,M
E1,A7,Q1,M
E1,A7,Q2,VG
E1,A7,Q3,MG
E1,A7,Q4,G
E1,A7,Q5,MB
E1,A7,Q6,M
E1,A8,Q1,MG
E1,A8,Q2,VVG
E1,A8,Q3,G
E1,A8,Q4,G
E1,A8,Q5,G
E1,A8,Q6,M
E2,A1,Q1,VG
E2,A1,Q2,VVG
E2,A1,Q3,EG
E2,A1,Q4,VG
E2,A1,Q5,VG
E2,A1,Q6,G
E2,A2,Q1,G
E2,A2,Q2,VVG
E2,A2,Q3,EG
E2,A2,Q4,EG
E2,A2,Q5,G
E2,A2,Q6,VG
E2,A3,Q1,MG
E2,A3,Q2,VVG
E2,A3,Q3,VVG
E2,A3,Q4,VVG
E2,A3,Q5,VG
E2,A3,Q6,G
E2,A4,Q1,MG
E2,A4,Q2,VVG
E2,A4,Q3,VG
E2,A4,Q4,VVG
E2,A4,Q5,MG
E2,A4,Q6,VG
E2,A5,Q1,VG
E2,A5,Q2,VG
E2,A5,Q3,VVG
E2,A5,Q4,VG
E2,A5,Q5,VG
E2,A5,Q6,G
E2,A6,Q1,G
E2,A6,Q2,EG
E2,A6,Q3,VG
E2,A6,Q4,VVG
E2,A6,Q5,VG
E2,A6,Q6,MG
E2,A7,Q1,M
E2,A7,Q2,VVG
E2,A7,Q3,G
E2,A7,Q4,VG
E2,A7,Q5,M
E2,A7,Q6,G
E2,A8,Q1,G
E2,A8,Q2,EG
E2,A8,Q3,VG
E2,A8,Q4,VG
E2,A8,Q5,VG
E2,A8,Q6,MG
E3,A1,Q1,VVG
E3,A1,Q2,VVG
E3,A1,Q3,VVG
E3,A1,Q4,EG
E3,A1,Q5,VVG
E3,A1,Q6,G
E3,A2,Q1,VVG
E3,A2,Q2,EG
E3,A2,Q3,EG
E3,A2,Q4,EG
E3,A2,Q5,VVG
E3,A2,Q6,G
E3,A3,Q1,VVG
E3,A3,Q2,EG
E3,A3,Q3,VVG
E3,A3,Q4,VG
E3,A3,Q5,G
E3,A3,Q6,VG
